"","IBCSplitCode","IBCCodeDescription","CleanText"
"1075","4261a00","Household goods - public rental units e.g. Mini mall private storage","household goods - public rental units e.g. mini mall private storage"
"1076","4263a00","Household goods - storage and moving, handling, packing","household goods - storage and moving, handling, packing"
"1077","7298a00","Tour operators","tour operators"
"1078","4262a00","Household goods (care, custody and control) - storage only","household goods (care, custody and control) - storage only"
"1079","4251a00","Refrigerated - cold storage (warehouse)","refrigerated - cold storage (warehouse)"
"1080","4117a00","Towing services","towing services"
"1081","4251b00","Sperm banks - not agricultural","sperm banks -"
"1082","4231a00","Tobacco warehousing","tobacco warehousing"
"1083","4290a00","Transportation terminal-excluding garage operations","transportation terminal-"
"1084","4462a00","Wharves, piers & docks","wharves, piers docks"
"1085","4281a00","Whisky, distilled spirits warehousing","whisky, distilled spirits warehousing"
"1086","5063a00","Fruit, vegetable (produce)","fruit, vegetable (produce)"
"1087","3590k00","Wire (i.e. Electric Cable) manufacturing","wire (i.e. electric cable) manufacturing"
"1088","5064a00","Animal feed, grain, hay","animal feed, grain, hay"
"1089","5061a00","Non-alcoholic beverages","non-alcoholic beverages"
"1090","5996h00","Toys","toys"
"1091","5162a00","Building supplies","building supplies"
"1092","5163a00","Light farm, lawn, garden supplies","light farm, lawn, garden supplies"
"1093","5161a00","Lumber yards","lumber yards"
"1094","5092a00","Hardware, plumbing, electrical. supplies","hardware, plumbing, electrical. supplies"
"1095","8324a00","Trade schools or vocational training","trade schools or vocational training"
"1096","7298b00","Travel agents","travel agents"
"1097","5055a00","Women's and girl's wear","women's and girl's wear"
"1098","0736a00","Tree removal, trimming, pruning contractor","tree removal, trimming, pruning contractor"
"1099","5190z00","Miscellaneous - NOC","miscellaneous - noc"
"1100","5223a00","Equipment for bar / hotels / offices/ restaurants/ stores","equipment for bar hotels offices restaurants stores"
"1101","5058z00","Notions, housewares - NOC","notions, housewares - noc"
"1102","5101a00","Machinery, industrial","machinery, industrial"
"1103","5191b00","Janitorial supplies","janitorial supplies"
"1104","5032a00","Cosmetics","cosmetics"
"1105","5016a00","Automobile body or non-operating parts, accessories","automobile body or non-operating parts, accessories"
"1106","4117d50","Trucking - equipment (excl. drilling rigs)","trucking - equipment ("
"1107","4117d10","Trucking - hot shot, pilot vehicles","trucking - hot shot, pilot vehicles"
"1108","5093a00","Heating, air conditioning, refrigeration equipment","heating, air conditioning, refrigeration equipment"
"1109","4117z00","Trucking - NOC (excl. drilling rigs)","trucking - noc ("
"1110","5102z00","Machinery - NOC","machinery - noc"
"1111","5153a00","Floor coverings - rugs, carpets","floor coverings - rugs, carpets"
"1112","5222z00","Metal - NOC","metal - noc"
"1113","5232a00","Computers & office machinery and equipment","computers office machinery and equipment"
"1114","5056a00","Men's and boy's wear","men's and boy's wear"
"1115","5140a00","Paper, paper products (Not recycling)","paper, paper products "
"1116","5057a00","Dry goods, piece goods, wool","dry goods, piece goods, wool"
"1117","5193z00","Religious goods, film, stationery, hobby, toys, leather, musical instruments","religious goods, film, stationery, hobby, toys, leather, musical instruments"
"1118","5106z00","Machinery - NOC - manufacturer's agents. Sample stock only","machinery - noc - manufacturer's agents. sample stock only"
"1119","5052a00","Accessories - incl. leather goods - not shoes, umbrellas","accessories - incl. leather goods - umbrellas"
"1120","5130a00","Liquor / beer /wine distributors","liquor beer wine distributors"
"1121","5211a00","China, glass products, earthenware","china, glass products, earthenware"
"1122","5043a00","Paint, wallpaper, varnish, lacquer, printer's ink, aniline dyes","paint, wallpaper, varnish, lacquer, printer's ink, aniline dyes"
"1123","5152a00","Pictures, paintings, bric-a-brac, artificial flowers","pictures, paintings, bric-a-brac, artificial flowers"
"1124","5154a00","Floor coverings - other than rugs, carpets","floor coverings - otherthanrugs, carpets"
"1125","5171a00","Costume, novelty, imitation jewelry","costume, novelty, imitation jewelry"
"1126","5191a00","Resin/min oils/celluloid/plastic/wax","resin min oils celluloid plastic wax"
"1127","4117d20","Trucking - Non-potable water","trucking - non-potable water"
"1128","4117d60","Trucking - Oil & Gas (Condensate)","trucking - oil gas (condensate)"
"1129","4117d70","Trucking - Oil & Gas (crude oil)","trucking - oil gas (crude oil)"
"1130","5021a00","Rubber products / tires / tubes","rubber products tires tubes"
"1131","5051a00","Boots, shoes","boots, shoes"
"1132","5015a00","Auto. operating parts excluding wheel assemblies, brakes, steering part","auto. operating parts "
"1133","5155a00","Draperies, window goods","draperies, window goods"
"1134","5014a00","Automobile wheel assembly, brakes or steering parts","automobile wheel assembly, brakes or steering parts"
"1135","4117d30","Trucking - Potable water","trucking - potable water"
"1136","4117d40","Trucking - Salt water","trucking - salt water"
"1137","4117c00","Trucking - specialized carriers/and or Long Haul (Hauling for others )","trucking - specialized carriers and or long haul (hauling for others )"
"1138","5232b00","Office Machinery and equipment (excluding computers)","office machinery and equipment ("
"1139","1782d00","Underground storage tank - remediation contractors","underground storage tank - remediation contractors"
"1140","7541b00","Valet parking services","valet parking services"
"1141","0121c90","Vegetables N.O.C.","vegetables n.o.c."
"1142","5046a00","Fertilizer (ex ammonium nitrate) salt, sulphur, phosphate, borax, potash","fertilizer (ex ammonium nitrate) salt, sulphur, phosphate, borax, potash"
"1143","5105a00","Machinery, industrial - manufacturer's agents. Sample stock only","machinery, industrial - manufacturer's agents. sample stock only"
"1144","5054a00","Children's, infant's wear","children's, infant's wear"
"1145","5111a00","Fuel oil / gasoline dealers","fuel oil gasoline dealers"
"1146","5332a00","Vending machine ops. - food or beverage","vending machine ops. - food or beverage"
"1147","5041a00","Acids, petrochemicals, fertilizer (ammonium nitrate)","acids, petrochemicals, fertilizer (ammonium nitrate)"
"1148","5080a00","Tobacco, tobacco products (processed)","tobacco, tobacco products (processed)"
"1149","5331a00","Vending machine ops. - not food or beverage","vending machine ops. -"
"1150","0737a00","Veterinarians, including animal hospitals","veterinarians, including animal hospitals"
"1151","5715b00","Video stores - rentals and sales","video stores - rentals and sales"
"1152","5022z00","Rubber products - NOC","rubber products - noc"
"1153","4954a00","Waterworks operations (excluding dams & reservoirs)","waterworks operations ("
"1154","1777a00","Waterproofing contractors","waterproofing contractors"
"1155","5172a00","Clocks, watches","clocks, watches"
"1156","4950a00","Wind farms/wind turbines","wind farms wind turbines"
"1157","8910b00","Weather forecast services (private)","weather forecast services (private)"
"1158","8918c00","Website designers","website designers"
"1159","5013a00","Trailers, camper units","trailers, camper units"
"1160","5172b00","Precious stones","precious stones"
"1161","5113a00","Asphalt, greases","asphalt, greases"
"1162","5047z00","Chemicals - low/mod. hazard NOC","chemicals - low mod. hazard noc"
"1163","5033a00","Drug supply - low hazard","drug supply - low hazard"
"1164","5114a00","Tank farms (bulk oil depots)","tank farms (bulk oil depots)"
"1165","5195a00","Cameras, optical goods - excluding eye glasses, contact lenses","cameras, optical goods - "
"1166","5122a00","Rag, paper stock for recycling","rag, paper stock for recycling"
"1167","7408c40","Wedding consultants","wedding consultants"
"1168","8063a00","X-ray, infra-red, diathermy or quartz lamp machines - a clinic for treatment","x-ray, infra-red, diathermy or quartz lamp machines - a clinic for treatment"
"1169","1763a00","Welding, brazing and cutting contractor, including mobile off-premises (excl. oil and gas related)","welding, brazing and cutting contractor, including mobile off-premises ("
"1170","1395a00","Well supplies or equipment dealer","well supplies or equipment dealer"
"1171","1394a60","Wire Line and Fishing Operators","wire line and fishing operators"
"1172","1736b10","Windmill dealer / installation contractor","windmill dealer installation contractor"
"1173","5240a00","Solid fuel, ice","solid fuel, ice"
"1174","7392a00","Window cleaning contractors","window cleaning contractors"
"1175","3590b00","Wire rope and cable manufacturing - metal, excluding electrical cable","wire rope and cable manufacturing - metal, "
"1176","2330z00","Women and girl's wear NOC excluding accessories and Fur","women and girl's wear noc "
"1177","2493a00","Wood furniture manufacturing - not upholstered; baby/children","wood furniture manufacturing - baby children"
"1178","5124a00","Second-hand material yards - excl. tires","second-hand material yards - "
"1179","5231a00","Computer systems, large or main frame - incl. tape drives etc.","computer systems, large or main frame - incl. tape drives etc."
"1180","5694a00","Women's wear, bridal shops","women's wear, bridal shops"
"1181","1716b00","Wood & coal stove - dealer / installer","wood coal stove - dealer installer"
"1182","2493b00","Wood furniture manufacturing - not upholstered; not baby/children","wood furniture manufacturing -"
"1183","5221b00","Precious metals","precious metals"
"1184","5172c00","Silverware","silverware"
"1185","5126a00","Tire salvage including storage","tire salvage including storage"
"1186","5121b00","Junk yard (auto)","junk yard (auto)"
"1187","5108a00","Aircraft supplies - manufacturer's agents. Sample stock only","aircraft supplies - manufacturer's agents. sample stock only"
"1188","5104a00","Aircraft supplies","aircraft supplies"
"1189","2491a00","Wood preserving, dry kilns","wood preserving, dry kilns"
"1190","5081a00","Tobacco, unprocessed, sales warehouse - air or no drying","tobacco, unprocessed, sales warehouse - air or"
"1191","2490b00","Woodworking shops - doors and windows","woodworking shops - doors and windows"
"1192","5045a00","Pesticides, insecticides, herbicides","pesticides, insecticides, herbicides"
"1193","5094a00","Electronic Equipment, radio, television, audio, video equipment, electronic games","electronic equipment, radio, television, audio, video equipment, electronic games"
"1194","5034a00","Drug supply - medium or high hazard","drug supply - medium or high hazard"
"1195","2490z00","Woodworking shops NOC","woodworking shops noc"
"1196","3073c00","Writing instruments manufacturing","writing instruments manufacturing"
"1197","5033b00","Herbal products for ingestion and food supplements","herbal products for ingestion and food supplements"
"1198","5042a00","Gases, other than petroleum","gases, otherthanpetroleum"
"1199","5044a00","Radioactive isotopes","radioactive isotopes"
"1200","5112a00","LPG, gases","lpg, gases"
"1201","5196b00","Sporting Goods - excluding protection equipment, firearms and ammunition","sporting goods - "
"1202","5196a00","Sporting Goods - including protection equipment, firearms and ammunition","sporting goods - including protection equipment, firearms and ammunition"
"1203","5053a00","Fur clothing","fur clothing"
